Source,Target,Weight
user_000000,user_035007,1
user_000000,user_035008,1
user_000000,user_035009,1
user_000000,user_035010,1
user_000001,user_001768,1
user_000001,user_015376,1
user_000001,user_017300,1
user_000001,user_002010,1
user_000001,user_035011,1
user_000002,user_035012,1
user_000002,user_035013,1
user_000003,user_035007,1
user_000003,user_035010,3
user_000003,user_035014,1
user_000003,user_035015,1
user_000003,user_013817,1
user_000003,user_035016,1
user_000003,user_000214,1
user_000003,user_035017,1
user_000003,user_035018,1
user_000004,user_035019,1
user_000004,user_013542,1
user_000004,user_035020,1
user_000005,user_034104,1
user_000006,user_002071,1
user_000006,user_035021,1
user_000006,user_034104,1
user_000006,user_035022,1
user_000007,user_035023,1
user_000007,user_007060,1
user_000007,user_035024,1
user_000007,user_035025,1
user_000008,user_035026,1
user_000008,user_000214,1
user_000008,user_035027,1
user_000009,user_035028,1
user_000009,user_035029,1
user_000009,user_035030,1
user_000010,user_026103,1
user_000010,user_035031,1
user_000011,user_004344,6
user_000011,user_015376,1
user_000011,user_035032,1
user_000011,user_035033,1
user_000011,user_035034,1
user_000011,user_034104,1
user_000011,user_035035,1
user_000011,user_035015,1
user_000012,user_001491,1
user_000012,user_035036,1
user_000013,user_035037,1
user_000013,user_002252,1
user_000014,user_016116,1
user_000014,user_035038,1
user_000014,user_035039,1
user_000014,user_035040,2
user_000014,user_002252,1
user_000015,user_035041,1
user_000015,user_035042,1
user_000015,user_004344,1
user_000015,user_035043,1
user_000015,user_035044,1
user_000015,user_035045,1
user_000016,user_035026,1
user_000016,user_035029,1
user_000016,user_035044,1
user_000016,user_035046,1
user_000016,user_035009,1
user_000016,user_035047,1
user_000016,user_035048,1
user_000017,user_009001,1
user_000017,user_035049,1
user_000017,user_015376,1
user_000018,user_035050,1
user_000018,user_022979,1
user_000019,user_016116,1
user_000019,user_035051,1
user_000019,user_035039,1
user_000020,user_010788,1
user_000021,user_008001,1
user_000021,user_035052,1
user_000021,user_004344,1
user_000022,user_013542,1
user_000022,user_012386,1
user_000022,user_035053,1
user_000022,user_001108,1
user_000023,user_035044,1
user_000023,user_035054,1
user_000023,user_035055,1
user_000023,user_015301,1
user_000023,user_034104,1
user_000023,user_024229,1
user_000023,user_011939,2
user_000023,user_035056,1
user_000023,user_035057,1
user_000023,user_006982,1
user_000023,user_035048,1
user_000023,user_035058,1
user_000023,user_035059,1
user_000023,user_010788,1
user_000023,user_035060,1
user_000023,user_035017,1
user_000023,user_001839,1
user_000023,user_035061,1
user_000023,user_035062,1
user_000023,user_035063,1
user_000023,user_035064,1
user_000023,user_035015,1
user_000024,user_035065,1
user_000025,user_035066,1
user_000025,user_035067,1
user_000026,user_002071,1
user_000026,user_035011,1
user_000026,user_015376,1
user_000026,user_021059,1
user_000026,user_035068,1
user_000026,user_035069,1
user_000026,user_035070,1
user_000026,user_035056,1
user_000026,user_035038,1
user_000026,user_035060,1
user_000027,user_001768,2
user_000027,user_035071,1
user_000028,user_035065,1
user_000028,user_035072,1
user_000028,user_035016,1
user_000029,user_035073,1
user_000029,user_035074,1
user_000029,user_005929,1
user_000030,user_001768,3
user_000030,user_035060,1
user_000031,user_035075,1
user_000031,user_035071,1
user_000031,user_001818,1
user_000032,user_035056,1
user_000033,user_035076,1
user_000034,user_035011,1
user_000034,user_004563,1
user_000034,user_035028,2
user_000034,user_035077,1
user_000034,user_003705,1
user_000034,user_035075,1
user_000034,user_003069,1
user_000035,user_035065,1
user_000035,user_035014,1
user_000036,user_001768,1
user_000036,user_035007,1
user_000036,user_014516,1
user_000036,user_016116,1
user_000036,user_035014,1
user_000037,user_035078,1
user_000037,user_035079,1
user_000037,user_011114,1
user_000037,user_035080,1
user_000037,user_035081,1
user_000037,user_035029,1
user_000037,user_035076,1
user_000037,user_033160,1
user_000037,user_014076,1
user_000037,user_035062,1
user_000037,user_015907,1
user_000037,user_014005,1
user_000038,user_035031,1
user_000039,user_035012,1
user_000039,user_035072,1
user_000039,user_015376,1
user_000040,user_010776,1
user_000041,user_008124,1
user_000041,user_008001,1
user_000042,user_016110,1
user_000042,user_016033,1
user_000042,user_035082,1
user_000043,user_001798,1
user_000043,user_035083,1
user_000043,user_035084,1
user_000043,user_029464,1
user_000044,user_035007,1
user_000044,user_001684,1
user_000044,user_003705,1
user_000044,user_019993,1
user_000044,user_016110,1
user_000044,user_035085,1
user_000044,user_010788,1
user_000044,user_035020,1
user_000044,user_035086,1
user_000044,user_035087,1
user_000044,user_000113,1
user_000044,user_035046,1
user_000045,user_035088,2
user_000045,user_035089,1
user_000045,user_017519,1
user_000045,user_009083,1
user_000045,user_001440,1
user_000045,user_035090,1
user_000045,user_008593,1
user_000045,user_035091,1
user_000045,user_035092,1
user_000045,user_035093,2
user_000045,user_010431,1
user_000045,user_000744,1
user_000045,user_004165,1
user_000045,user_022979,1
user_000046,user_033133,1
user_000046,user_035066,1
user_000046,user_035094,1
user_000046,user_035032,1
user_000047,user_026103,1
user_000047,user_035095,1
user_000048,user_035007,1
user_000048,user_035096,1
user_000048,user_003705,1
user_000048,user_035028,1
user_000048,user_035013,1
user_000048,user_009001,1
user_000048,user_003130,1
user_000048,user_007246,1
user_000048,user_035097,1
user_000048,user_000214,1
user_000048,user_035098,1
user_000048,user_002487,1
user_000048,user_035020,1
user_000048,user_035029,1
user_000048,user_008328,1
user_000048,user_035085,1
user_000049,user_004344,2
user_000049,user_035099,1
user_000049,user_035100,1
user_000049,user_035101,1
user_000049,user_035064,1
user_000049,user_002071,1
user_000049,user_035102,1
user_000050,user_035103,1
user_000050,user_035064,1
user_000050,user_035090,1
user_000050,user_001818,1
user_000050,user_004522,2
user_000050,user_004344,2
user_000050,user_002126,1
user_000050,user_002252,1
user_000050,user_035104,1
user_000050,user_001491,1
user_000050,user_035009,1
user_000050,user_035105,1
user_000050,user_026496,1
user_000050,user_035062,1
user_000050,user_013542,1
user_000050,user_011114,1
user_000051,user_007504,1
user_000051,user_035048,1
user_000051,user_035052,1
user_000051,user_035036,1
user_000052,user_035106,1
user_000052,user_035051,1
user_000053,user_001839,1
user_000053,user_009001,1
user_000053,user_000214,1
user_000053,user_035028,1
user_000053,user_035107,1
user_000053,user_000896,1
user_000053,user_020711,1
user_000054,user_034104,1
user_000054,user_001768,1
user_000054,user_013542,1
user_000054,user_001451,1
user_000054,user_017300,1
user_000054,user_035014,1
user_000054,user_035039,1
user_000054,user_002252,1
user_000055,user_035108,1
user_000055,user_035050,1
user_000055,user_016261,2
user_000055,user_035109,1
user_000055,user_000214,1
user_000055,user_035089,1
user_000055,user_035110,2
user_000055,user_000211,4
user_000055,user_035111,1
user_000055,user_035112,1
user_000055,user_035113,1
user_000055,user_035114,1
user_000055,user_035115,1
user_000055,user_008842,1
user_000055,user_000124,1
user_000055,user_035116,1
user_000055,user_002224,1
user_000055,user_035117,1
user_000055,user_013542,1
user_000055,user_012914,2
user_000055,user_020848,1
user_000055,user_008001,1
user_000055,user_022979,2
user_000055,user_035118,1
user_000055,user_035016,1
user_000055,user_035119,1
user_000055,user_035120,1
user_000055,user_015312,1
user_000055,user_012776,1
user_000055,user_035121,2
user_000055,user_035122,1
user_000055,user_035123,1
user_000055,user_035124,1
user_000055,user_035125,1
user_000055,user_014501,1
user_000055,user_035015,1
user_000055,user_001440,1
user_000055,user_035126,1
user_000055,user_009975,1
user_000055,user_035127,1
user_000055,user_035128,1
user_000055,user_035129,1
user_000055,user_014804,1
user_000055,user_035130,1
user_000055,user_003810,1
user_000055,user_016220,1
user_000055,user_027012,1
user_000055,user_002575,1
user_000055,user_035131,1
user_000055,user_015950,1
user_000055,user_027442,1
user_000055,user_026187,1
user_000055,user_025057,1
user_000055,user_013266,1
user_000055,user_011216,1
user_000056,user_001899,1
user_000056,user_000721,1
user_000056,user_024209,2
user_000056,user_035085,1
user_000056,user_035014,1
user_000056,user_030277,1
user_000056,user_035082,1
user_000056,user_035132,1
user_000056,user_022979,1
user_000056,user_035020,1
user_000056,user_005929,1
user_000056,user_016033,1
user_000056,user_031136,1
user_000056,user_011487,1
user_000056,user_035044,1
user_000056,user_035133,1
user_000057,user_001818,1
user_000057,user_035134,1
user_000057,user_035135,1
user_000058,user_035066,1
user_000058,user_012170,1
user_000058,user_013734,1
user_000058,user_035136,1
user_000058,user_035137,1
user_000058,user_035138,1
user_000059,user_035067,1
user_000059,user_009997,1
user_000059,user_035032,2
user_000059,user_035023,1
user_000059,user_003306,1
user_000059,user_035139,1
user_000059,user_026103,1
user_000059,user_033133,1
user_000059,user_035094,1
user_000059,user_001538,1
user_000059,user_007060,2
user_000060,user_002252,1
user_000060,user_035140,1
user_000061,user_011083,1
user_000061,user_035048,1
user_000061,user_035141,1
user_000061,user_035082,1
user_000061,user_015153,1
user_000061,user_035007,1
user_000061,user_020711,1
user_000062,user_035007,1
user_000062,user_035013,1
user_000063,user_035142,1
user_000063,user_035050,1
user_000063,user_035143,1
user_000063,user_035144,1
user_000063,user_028346,1
user_000063,user_035048,1
user_000063,user_035088,1
user_000063,user_035145,1
user_000063,user_035146,1
user_000063,user_035147,1
user_000063,user_016500,1
user_000064,user_016033,1
user_000064,user_001491,1
user_000064,user_035011,1
user_000064,user_035007,1
user_000064,user_035052,1
user_000064,user_035013,1
user_000064,user_007246,1
user_000064,user_034104,1
user_000064,user_035148,1
user_000064,user_005792,3
user_000064,user_015907,1
user_000065,user_035149,1
user_000066,user_035094,1
user_000066,user_035150,1
user_000066,user_035151,2
user_000066,user_035152,1
user_000066,user_006092,1
user_000066,user_035153,1
user_000066,user_007215,1
user_000067,user_009619,1
user_000067,user_035032,1
user_000067,user_005623,1
user_000067,user_035154,1
user_000067,user_035094,1
user_000067,user_035031,1
user_000067,user_035155,1
user_000067,user_035067,1
user_000067,user_035156,1
user_000067,user_000355,1
user_000067,user_013734,1
user_000067,user_035157,1
user_000067,user_035151,1
user_000067,user_026100,1
user_000068,user_035158,1
user_000068,user_032029,1
user_000068,user_001899,1
user_000068,user_022958,1
user_000068,user_035159,1
user_000068,user_001440,1
user_000068,user_012914,1
user_000068,user_035116,1
user_000068,user_016186,1
user_000068,user_019936,1
user_000068,user_034104,2
user_000068,user_035115,1
user_000068,user_035160,1
user_000068,user_035161,1
user_000068,user_035071,1
user_000068,user_035011,1
user_000068,user_011657,1
user_000068,user_003555,1
user_000069,user_035162,2
user_000070,user_009001,1
user_000070,user_003705,1
user_000070,user_004563,1
user_000070,user_007246,1
user_000070,user_024580,1
user_000070,user_010276,1
user_000070,user_020711,1
user_000071,user_035163,1
user_000071,user_016877,1
user_000071,user_035014,1
user_000071,user_034104,1
user_000071,user_035104,1
user_000071,user_005792,1
user_000071,user_035164,1
user_000071,user_035165,1
user_000071,user_013817,1
user_000071,user_035015,1
user_000071,user_035166,1
user_000071,user_035167,1
user_000071,user_035105,1
user_000071,user_000301,1
user_000071,user_035063,1
user_000071,user_035072,1
user_000071,user_035127,1
user_000071,user_035030,1
user_000071,user_035162,1
user_000071,user_035168,1
user_000071,user_011766,1
user_000071,user_004522,2
user_000071,user_032904,1
user_000071,user_035169,1
user_000072,user_035117,1
user_000072,user_015376,1
user_000072,user_035161,1
user_000072,user_035111,1
user_000073,user_009513,2
user_000073,user_035170,1
user_000074,user_035007,2
user_000074,user_004563,1
user_000074,user_020711,1
user_000074,user_035040,1
user_000075,user_009001,1
user_000075,user_035028,1
user_000075,user_035048,1
user_000075,user_035096,1
user_000075,user_035171,1
user_000076,user_035090,1
user_000076,user_018669,1
user_000076,user_013817,1
user_000076,user_035072,1
user_000076,user_035052,1
user_000077,user_026103,1
user_000077,user_035067,1
user_000078,user_000211,2
user_000078,user_035044,1
user_000078,user_002224,1
user_000078,user_012914,1
user_000078,user_035110,2
user_000078,user_001768,1
user_000078,user_035143,1
user_000078,user_020332,1
user_000078,user_008678,1
user_000078,user_022979,1
user_000078,user_012907,1
user_000078,user_035116,1
user_000078,user_035172,1
user_000078,user_008001,1
user_000078,user_035173,1
user_000078,user_027012,1
user_000079,user_035050,1
user_000079,user_035174,1
user_000080,user_015376,1
user_000080,user_020711,1
user_000080,user_035071,1
user_000080,user_016110,1
user_000081,user_000211,2
user_000081,user_035125,1
user_000082,user_011939,2
user_000082,user_035020,2
user_000082,user_035090,1
user_000082,user_009001,1
user_000082,user_035175,1
user_000082,user_008328,1
user_000082,user_035009,2
user_000082,user_035176,1
user_000082,user_035177,1
user_000082,user_035178,1
user_000082,user_035072,1
user_000082,user_035127,1
user_000082,user_035030,1
user_000082,user_013817,1
user_000082,user_035179,1
user_000082,user_035180,1
user_000082,user_035181,1
user_000082,user_008941,1
user_000082,user_011765,1
user_000083,user_035152,1
user_000083,user_001538,1
user_000083,user_035151,1
user_000083,user_034948,1
user_000083,user_035065,1
user_000083,user_035182,1
user_000083,user_035183,1
user_000083,user_035023,1
user_000083,user_035184,1
user_000083,user_035185,1
user_000083,user_035186,1
user_000084,user_004563,1
user_000085,user_004563,1
user_000085,user_035068,1
user_000086,user_026103,1
user_000086,user_035032,1
user_000086,user_035014,1
user_000086,user_007244,2
user_000086,user_009990,1
user_000086,user_001896,1
user_000086,user_035031,1
user_000086,user_029391,1
user_000086,user_035187,1
user_000086,user_035157,1
user_000087,user_035188,1
user_000087,user_035189,1
user_000088,user_035079,1
user_000088,user_024781,1
user_000088,user_001768,1
user_000088,user_001491,1
user_000088,user_015376,1
user_000088,user_035096,1
user_000089,user_035190,1
user_000089,user_022979,1
user_000090,user_035051,1
user_000090,user_035191,1
user_000090,user_022979,2
user_000090,user_027576,1
user_000090,user_035192,1
user_000090,user_035193,1
user_000091,user_020634,1
user_000091,user_023543,2
user_000091,user_020065,1
user_000091,user_035194,1
user_000091,user_017391,1
user_000091,user_035060,1
user_000091,user_030421,1
user_000092,user_011939,1
user_000092,user_035064,1
user_000092,user_016110,1
user_000092,user_035195,3
user_000092,user_008941,1
user_000092,user_008001,1
user_000092,user_022979,1
user_000092,user_000211,1
user_000092,user_035116,1
user_000092,user_035196,3
user_000092,user_035020,1
user_000092,user_035197,1
user_000092,user_035132,2
user_000092,user_035198,1
user_000092,user_035102,1
user_000092,user_012589,1
user_000092,user_035199,1
user_000092,user_012819,1
user_000092,user_035082,2
user_000092,user_035009,3
user_000092,user_005792,3
user_000092,user_035200,1
user_000092,user_030598,1
user_000092,user_035201,1
user_000092,user_035202,2
user_000092,user_010788,2
user_000092,user_004522,1
